MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;EnableDist;TransitionDist;UnkT08;UnkT09;UnkT0A;UnkT24;UnkT28;UnkT2C;UnkT2E;UnkT2F;UnkT30;UnkT33;UnkT34;UnkT36;
m10_00_00_00;Env_Box000;SoulsFormats.MSB+Shape+Box;<118.269, -333.886, 328.944>;<0, -40, 0>;9203;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;0;1;
m10_00_00_00;Env_Box001;SoulsFormats.MSB+Shape+Box;<-263.312, -333.886, 207.993>;<0, -40, 0>;8521;0;4294967295;255;-1;0;-1;;0;0;5;0;10;-1;1;0.5;0;True;True;-1;True;11;1;
m10_00_00_00;Env_Box002;SoulsFormats.MSB+Shape+Box;<-2767.848, -333.886, 3768.484>;<0, -40, 0>;8593;0;4294967295;255;-1;0;-1;;0;0;5;0;10;-1;1;1;0;True;True;-1;True;0;1;
m10_00_00_00;Env_Box003;SoulsFormats.MSB+Shape+Box;<-80.053, -333.886, 38.156>;<0, -97.632, 0>;8540;0;4294967295;255;-1;0;-1;;0;0;5;0;10;-1;1;1;0;True;True;-1;True;12;1;
m10_00_00_00;Env_Box004;SoulsFormats.MSB+Shape+Box;<671.692, -333.886, 6654.6>;<0, -40, 0>;8594;0;4294967295;255;-1;0;-1;;0;0;5;0;10;-1;1;1;0;True;True;-1;True;0;1;
m10_00_00_00;Env_Box005;SoulsFormats.MSB+Shape+Box;<3557.809, -333.886, 3215.061>;<0, -40, 0>;8595;0;4294967295;255;-1;0;-1;;0;0;5;0;10;-1;1;1;0;True;True;-1;True;0;1;
m10_00_00_00;Env_Box010;SoulsFormats.MSB+Shape+Box;<-25.072, -74.684, -17.427>;<0, 1.739, -0>;9012;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box011;SoulsFormats.MSB+Shape+Box;<-79.464, -68.692, -12.682>;<-0, 35, 0>;9014;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box012;SoulsFormats.MSB+Shape+Box;<-131.633, -30.263, -11.664>;<0, -22.003, 0>;9031;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;19;1;
m10_00_00_00;Env_Box013;SoulsFormats.MSB+Shape+Box;<-175.289, 9.261, -28.681>;<-0, 34.318, 0>;9033;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;22;1;
m10_00_00_00;Env_Box014;SoulsFormats.MSB+Shape+Box;<-194.184, -20.21, -56.264>;<-0, 37.312, -0>;9035;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box015;SoulsFormats.MSB+Shape+Box;<-217.261, 30.704, 14.753>;<-0, 46.999, 0>;9048;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box020;SoulsFormats.MSB+Shape+Box;<-232.818, 35.224, 37.913>;<-0, 40.225, 0>;9061;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box021;SoulsFormats.MSB+Shape+Box;<-239.822, 48, 68.989>;<-0, 63.281, 0>;9064;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;29;1;
m10_00_00_00;Env_Box023;SoulsFormats.MSB+Shape+Box;<-226.399, 64.975, 79.134>;<-0, 63.281, 0>;9070;0;4294967295;255;-1;0;-1;;0;0;0.15;0;10;-1;0;0;0;True;True;-1;True;34;1;
m10_00_00_00;Env_Box025;SoulsFormats.MSB+Shape+Box;<-249.075, 35.224, 51.003>;<-0, 63.281, 0>;9072;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box040;SoulsFormats.MSB+Shape+Box;<-261.221, 63.381, 113.825>;<-0, 63.281, 0>;9067;0;4294967295;255;-1;0;-1;;0;0;2.5;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box042;SoulsFormats.MSB+Shape+Box;<-277.994, 57.21, 113.264>;<-0, 63.281, 0>;9078;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box045;SoulsFormats.MSB+Shape+Box;<-247.993, 95.926, 92.884>;<-0, 63.281, 0>;9085;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;33;1;
m10_00_00_00;Env_Box046;SoulsFormats.MSB+Shape+Box;<-261.145, 97.35, 113.122>;<-0, 63.281, 0>;9087;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;32;1;
m10_00_00_00;Env_Box047;SoulsFormats.MSB+Shape+Box;<-281.181, 57.385, 150.007>;<0, -32, 0>;9021;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box048;SoulsFormats.MSB+Shape+Box;<-300.291, 87.003, 196.792>;<0, -12, 0>;9038;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;22;1;
m10_00_00_00;Env_Box101;SoulsFormats.MSB+Shape+Box;<-270.404, 74.295, 185.727>;<0, -90, 0>;9040;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box102;SoulsFormats.MSB+Shape+Box;<-270.34, 75.19, 204.966>;<0, -90, 0>;9089;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box103;SoulsFormats.MSB+Shape+Box;<-265.16, 65.385, 217.151>;<0, -90, 0>;9189;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;22;1;
m10_00_00_00;Env_Box120;SoulsFormats.MSB+Shape+Box;<-260.136, 74.532, 186.989>;<0, -0.275, 0>;9020;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;22;1;
m10_00_00_00;Env_Box121;SoulsFormats.MSB+Shape+Box;<-247.093, 64.957, 157.273>;<0, -25.275, 0>;9091;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;29;1;
m10_00_00_00;Env_Box122;SoulsFormats.MSB+Shape+Box;<-232.803, 73.448, 133.895>;<0, -116.458, 0>;9093;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;34;1;
m10_00_00_00;Env_Box124;SoulsFormats.MSB+Shape+Box;<-208.998, 64.325, 112.958>;<0, -116.458, 0>;9106;0;4294967295;255;-1;0;-1;;0;0;0.2;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box125;SoulsFormats.MSB+Shape+Box;<-210.089, 74.251, 93.843>;<0, -116.458, 0>;9101;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box128;SoulsFormats.MSB+Shape+Box;<-204.151, 73.396, 79.014>;<0, -116.79, 0>;9103;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box131;SoulsFormats.MSB+Shape+Box;<-186.039, 58.478, 94.082>;<0, -117, 0>;9105;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box132;SoulsFormats.MSB+Shape+Box;<-208.406, 64.646, 94.753>;<0, -116.458, 0>;9108;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;33;1;
m10_00_00_00;Env_Box133;SoulsFormats.MSB+Shape+Box;<-223.079, 63.869, 124.922>;<0, -116.458, 0>;9111;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;33;1;
m10_00_00_00;Env_Box135;SoulsFormats.MSB+Shape+Box;<-246.323, 65.255, 118.495>;<0, -116.458, 0>;9112;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box136;SoulsFormats.MSB+Shape+Box;<-229.196, 65.983, 97.221>;<-0, 63.281, 0>;8543;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;33;1;
m10_00_00_00;Env_Box137;SoulsFormats.MSB+Shape+Box;<-236.527, 32, 93.241>;<-0, 63.281, 0>;9176;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;34;1;
m10_00_00_00;Env_Box138;SoulsFormats.MSB+Shape+Box;<-199.704, 66.627, 133.628>;<0, -116.458, 0>;9118;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box139;SoulsFormats.MSB+Shape+Box;<-213.206, 63.918, 146.269>;<0, -116.458, 0>;9116;0;4294967295;255;-1;0;-1;;0;0;0.2;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box147;SoulsFormats.MSB+Shape+Box;<-230.59, 53.229, 137.038>;<0, -116.458, 16.009>;9192;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box148;SoulsFormats.MSB+Shape+Box;<-216.196, 53.884, 108.549>;<0, -116.458, 0>;9193;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box149;SoulsFormats.MSB+Shape+Box;<-203.297, 50, 83.024>;<0, -116.458, 0>;9195;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box150;SoulsFormats.MSB+Shape+Box;<-230.294, 59.19, 183.949>;<0, -90, 0>;9016;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;23;1;
m10_00_00_00;Env_Box152;SoulsFormats.MSB+Shape+Box;<-159.431, 32.623, 160.007>;<0, -72.361, 0>;9126;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;19;1;
m10_00_00_00;Env_Box153;SoulsFormats.MSB+Shape+Box;<-173.632, 31.948, 97.389>;<-0, 65.595, 0>;9059;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box154;SoulsFormats.MSB+Shape+Box;<-164.969, 25.735, 55.577>;<-0, 65, 0>;9055;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;22;1;
m10_00_00_00;Env_Box155;SoulsFormats.MSB+Shape+Box;<-115.517, 31.757, 99.327>;<-0, 65, 0>;9057;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;23;1;
m10_00_00_00;Env_Box156;SoulsFormats.MSB+Shape+Box;<-141.021, 19.266, 31.241>;<-0, 35, 0>;9053;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box157;SoulsFormats.MSB+Shape+Box;<-117.072, 19.279, 27.575>;<-0, 35, 0>;9050;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box165;SoulsFormats.MSB+Shape+Box;<-95.45, 34.76, 118.613>;<-0, 65, 0>;9136;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box166;SoulsFormats.MSB+Shape+Box;<-36.707, -59.64, 143.469>;<-0, 63.974, 0>;8530;0;4294967295;255;-1;0;-1;;0;0;5;0;10;-1;1;1;0;True;True;-1;True;17;1;
m10_00_00_00;Env_Box167;SoulsFormats.MSB+Shape+Box;<-95.051, -59.64, 199.193>;<-0, 48.286, 0>;8539;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;14;1;
m10_00_00_00;Env_Box168;SoulsFormats.MSB+Shape+Box;<-253.421, 85.388, 266.398>;<-0, 166.454, 0>;8562;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box169;SoulsFormats.MSB+Shape+Box;<-296.138, 48.712, 226.741>;<0, -14.5, 0>;8565;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box170;SoulsFormats.MSB+Shape+Box;<-259.492, 65.289, 205.05>;<0, -90, 0>;8535;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box171;SoulsFormats.MSB+Shape+Box;<-270.37, 65.289, 204.974>;<0, -90, 0>;9134;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box172;SoulsFormats.MSB+Shape+Box;<-251.817, 65.385, 235.933>;<-0, 165.407, 0>;9129;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box173;SoulsFormats.MSB+Shape+Box;<-274.635, 67.05, 242.489>;<-0, 165.349, 0>;9130;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box174;SoulsFormats.MSB+Shape+Box;<-258.867, 67.05, 248.457>;<-0, 166.454, 0>;9132;0;4294967295;255;-1;0;-1;;0;0;1;0;10;-1;1;1;0;True;True;-1;True;31;1;
m10_00_00_00;Env_Box175;SoulsFormats.MSB+Shape+Box;<-258.827, 40.284, 248.291>;<-0, 166.454, 0>;9148;0;4294967295;255;-1;0;-1;;0;0;0;0;10;-1;0;0;0;True;True;-1;True;21;1;
m10_00_00_00;Env_Box176;SoulsFormats.MSB+Shape+Box;<-215.801, 78.184, 287.039>;<-0, 139.725, 0>;9150;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;20;1;
m10_00_00_00;Env_Box177;SoulsFormats.MSB+Shape+Box;<-218.422, 86.696, 268.294>;<-0, 139.938, 0>;9188;0;4294967295;255;-1;0;-1;;0;0;3;0;10;-1;1;1;0;True;True;-1;True;30;1;
m10_00_00_00;Env_Box178;SoulsFormats.MSB+Shape+Box;<-291.208, 86.479, 266.62>;<-0, -163.749, 0>;9151;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;29;1;
m10_00_00_00;Env_Box179;SoulsFormats.MSB+Shape+Box;<-318.143, 48.712, 259.187>;<-0, 106.454, 0>;9153;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;22;1;
m10_00_00_00;Env_Box180;SoulsFormats.MSB+Shape+Box;<-316.424, -11.288, 239.061>;<-0, 79.376, 0>;9156;0;4294967295;255;-1;0;-1;;0;0;8;0;10;-1;1;1;0;True;True;-1;True;17;1;
m10_00_00_00;Env_Box181;SoulsFormats.MSB+Shape+Box;<-291.942, 10.443, 226.274>;<0, -14.5, 0>;9182;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;18;1;
m10_00_00_00;Env_Box182;SoulsFormats.MSB+Shape+Box;<-262.582, 10.443, 148.683>;<0, -26.009, 0>;9183;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;17;1;
m10_00_00_00;Env_Box183;SoulsFormats.MSB+Shape+Box;<-236.512, 10.443, 99.581>;<0, -26.009, 0>;9185;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;19;1;
m10_00_00_00;Env_Box184;SoulsFormats.MSB+Shape+Box;<-239.489, 71.876, 116.763>;<0, -27.36, 0>;9201;0;4294967295;255;-1;0;-1;;0;0;0.5;0;10;-1;1;1;0;True;True;-1;True;32;1;
m10_00_00_00;Env_Box185;SoulsFormats.MSB+Shape+Box;<-279.866, 10.443, 187.786>;<-0, 0.5, 0>;9361;0;4294967295;255;-1;0;-1;;0;0;1.5;0;10;-1;1;1;0;True;True;-1;True;19;1;
m10_00_00_00;Env_Box186;SoulsFormats.MSB+Shape+Box;<-314.519, 66.353, 242.001>;<-0, -163.546, 0>;8616;0;4294967295;255;-1;0;-1;;0;0;2;0;10;-1;1;1;0;True;True;-1;True;30;1;
