MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;Priority;
m10_00_00_00;侵入ポイント_1000001_0000;SoulsFormats.MSB+Shape+Point;<-46.76, 1.813, -25.62>;<0, -125.28, 0>;181;0;4294967295;255;-1;0;-1;h001200;0;0;
m10_00_00_00;侵入ポイント_1000001_0100;SoulsFormats.MSB+Shape+Point;<-85.24, 17.125, -2.44>;<0, -75.53, 0>;182;0;4294967295;255;-1;0;-1;h001300;0;100;
m10_00_00_00;侵入ポイント_1000001_0200;SoulsFormats.MSB+Shape+Point;<-90.68, 15.597, 39.53>;<0, -59.5, 0>;189;0;4294967295;255;-1;0;-1;h001300;0;200;
m10_00_00_00;侵入ポイント_1000001_0300;SoulsFormats.MSB+Shape+Point;<-100.98, 21.617, 8.57>;<0, -84.89, 0>;190;0;4294967295;255;-1;0;-1;h001300;0;300;
m10_00_00_00;侵入ポイント_1000001_0400;SoulsFormats.MSB+Shape+Point;<-160.21, 29.025, -7.83>;<0, -95.86, 0>;191;0;4294967295;255;-1;0;-1;AEG210_388_2013;0;400;
m10_00_00_00;侵入ポイント_1000001_0500;SoulsFormats.MSB+Shape+Point;<-158.08, 29.871, -18.96>;<0, -126.67, 0>;192;0;4294967295;255;-1;0;-1;h002000;0;500;
m10_00_00_00;侵入ポイント_1000001_0600;SoulsFormats.MSB+Shape+Point;<-187.45, 35.944, -37.21>;<0, -68.91, 0>;193;0;4294967295;255;-1;0;-1;h002500;0;600;
m10_00_00_00;侵入ポイント_1000001_0700;SoulsFormats.MSB+Shape+Point;<-187.65, 34.396, -51.09>;<0, -138.27, 0>;198;0;4294967295;255;-1;0;-1;AEG210_389_2003;0;700;
m10_00_00_00;侵入ポイント_1000001_0800;SoulsFormats.MSB+Shape+Point;<-205.47, 34.222, -41.45>;<0, -13.04, 0>;199;0;4294967295;255;-1;0;-1;AEG210_388_2060;0;800;
m10_00_00_00;侵入ポイント_1000002_0000;SoulsFormats.MSB+Shape+Point;<-202.67, 37.85, -1.03>;<0, 9.37, 0>;200;0;4294967295;255;-1;0;-1;AEG210_388_2081;0;0;
m10_00_00_00;侵入ポイント_1000002_0100;SoulsFormats.MSB+Shape+Point;<-232.5, 51.364, 30.5>;<0, -33.13, 0>;201;0;4294967295;255;-1;0;-1;h002900;0;100;
m10_00_00_00;侵入ポイント_1000002_0200;SoulsFormats.MSB+Shape+Point;<-247.28, 59.344, 88.32>;<0, -21.63, 0>;202;0;4294967295;255;-1;0;-1;h003100;0;200;
m10_00_00_00;侵入ポイント_1000002_0300;SoulsFormats.MSB+Shape+Point;<-222.58, 63.623, 43>;<0, 135.58, 0>;203;0;4294967295;255;-1;0;-1;h003100;0;300;
m10_00_00_00;侵入ポイント_1000002_0400;SoulsFormats.MSB+Shape+Point;<-239.26, 67.129, 78.72>;<0, 19.84, 0>;204;0;4294967295;255;-1;0;-1;h003100;0;400;
m10_00_00_00;侵入ポイント_1000002_0500;SoulsFormats.MSB+Shape+Point;<-244.94, 67.129, 84.99>;<0, -26.15, 0>;205;0;4294967295;255;-1;0;-1;h003100;0;500;
m10_00_00_00;侵入ポイント_1000003_0000;SoulsFormats.MSB+Shape+Point;<-249.43, 73.767, 91.61>;<0, 131.08, 0>;206;0;4294967295;255;-1;0;-1;h003500;0;0;
m10_00_00_00;侵入ポイント_1000003_0100;SoulsFormats.MSB+Shape+Point;<-237.77, 73.622, 76.47>;<0, 121.3, 0>;207;0;4294967295;255;-1;0;-1;h003500;0;100;
m10_00_00_00;侵入ポイント_1000003_0200;SoulsFormats.MSB+Shape+Point;<-229.03, 69.97, 37.02>;<0, 112.43, 0>;208;0;4294967295;255;-1;0;-1;h003700;0;200;
m10_00_00_00;侵入ポイント_1000003_0300;SoulsFormats.MSB+Shape+Point;<-261.78, 79.134, 123.48>;<0, 14.19, 0>;209;0;4294967295;255;-1;0;-1;h003500;0;300;
m10_00_00_00;侵入ポイント_1000003_0400;SoulsFormats.MSB+Shape+Point;<-279.89, 89.469, 74.64>;<0, 151.25, 0>;210;0;4294967295;255;-1;0;-1;h004200;0;400;
m10_00_00_00;侵入ポイント_1000003_0500;SoulsFormats.MSB+Shape+Point;<-243.11, 98.46, 99.5>;<0, 62.89, 0>;211;0;4294967295;255;-1;0;-1;h004700;0;500;
m10_00_00_00;侵入ポイント_1000003_0600;SoulsFormats.MSB+Shape+Point;<-281.3, 107.46, 77.52>;<0, -136.11, 0>;212;0;4294967295;255;-1;0;-1;h004600;0;600;
m10_00_00_00;侵入ポイント_1000003_0700;SoulsFormats.MSB+Shape+Point;<-242.31, 107.639, 99.65>;<0, 60.19, 0>;213;0;4294967295;255;-1;0;-1;h013000;0;700;
m10_00_00_00;侵入ポイント_1000003_0800;SoulsFormats.MSB+Shape+Point;<-268.3, 107.639, 123.42>;<0, -25.65, 0>;214;0;4294967295;255;-1;0;-1;h013000;0;800;
