MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;UnkT00;
m10_00_00_00;walk_route_c0100_9000_21_10;SoulsFormats.MSB+Shape+Sphere;<-248.284, 75.582, 149.795>;<0, 0, 0>;10;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9000_21_11;SoulsFormats.MSB+Shape+Sphere;<-253.247, 77.543, 158.281>;<0, 0, 0>;11;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9000_21_12;SoulsFormats.MSB+Shape+Sphere;<-257.269, 77.541, 165.191>;<0, 0, 0>;12;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9000_21_13;SoulsFormats.MSB+Shape+Sphere;<-258.747, 77.552, 173.713>;<0, 0, 0>;13;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9000_21_21;SoulsFormats.MSB+Shape+Sphere;<-261.51, 77.575, 193.321>;<0, 0, 0>;21;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9001_35_242;SoulsFormats.MSB+Shape+Sphere;<-226.493, 67.103, 179.019>;<0, 0, 0>;242;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9001_35_243;SoulsFormats.MSB+Shape+Sphere;<-219.498, 66.858, 186.83>;<0, 0, 0>;243;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9001_35_244;SoulsFormats.MSB+Shape+Sphere;<-221.021, 66.998, 175.863>;<0, 0, 0>;244;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9001_35_245;SoulsFormats.MSB+Shape+Sphere;<-226.838, 66.86, 169.808>;<0, 0, 0>;245;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9001_35_246;SoulsFormats.MSB+Shape+Sphere;<-232.189, 67.156, 168.684>;<0, 0, 0>;246;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9001_35_247;SoulsFormats.MSB+Shape+Sphere;<-231.604, 66.7, 176.683>;<0, 0, 0>;247;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9003_26_149;SoulsFormats.MSB+Shape+Sphere;<-218.234, 76.582, 95.67>;<0, 0, 0>;149;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9003_26_150;SoulsFormats.MSB+Shape+Sphere;<-220.47, 76.391, 102.169>;<0, 0, 0>;150;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9003_26_152;SoulsFormats.MSB+Shape+Sphere;<-223.498, 76.392, 107.786>;<0, 0, 0>;152;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9003_26_153;SoulsFormats.MSB+Shape+Sphere;<-224.61, 76.392, 113.027>;<0, 0, 0>;153;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9003_26_154;SoulsFormats.MSB+Shape+Sphere;<-219.282, 76.392, 116.594>;<0, 0, 0>;154;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c0100_9003_26_155;SoulsFormats.MSB+Shape+Sphere;<-214.137, 76.392, 119.621>;<0, 0, 0>;155;0;4294967295;255;-1;0;-1;;0;-1;
m10_00_00_00;walk_route_c2140_9000_45_252;SoulsFormats.MSB+Shape+Sphere;<-245.654, 67.789, 217.417>;<0, 0, 0>;252;0;4294967295;255;-1;0;-1;;0;-1;
