MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;
m10_00_00_00;地図ポイント_発見領域上書き オープン緑 エジンバラ 100000;SoulsFormats.MSB+Shape+Box;<-48.629, -2.824, -14.898>;<0, 10, 0>;491;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;地図ポイント 110000 王都 発見領域上書き;SoulsFormats.MSB+Shape+Box;<-53.535, -3.119, -93.416>;<0, -50.332, 0>;408;0;4294967295;255;-1;0;-1;;0;
m12_07_00_00;発見領域 マップ名 永遠の都ノクローン;SoulsFormats.MSB+Shape+Box;<614.31, -527.86, 1047.694>;<0, 15.1, 0>;42;0;4294967295;255;-1;0;-1;;0;
m12_07_00_00;発見領域 永遠の都ノクローン;SoulsFormats.MSB+Shape+Sphere;<815.597, -583.989, 1252.729>;<0, 0, 0>;46;0;4294967295;255;-1;0;-1;;0;
m13_00_00_00;地図ポイント_発見領域上書き 130000 オープン平原 下り遺跡;SoulsFormats.MSB+Shape+Box;<239.695, 66.511, 129.467>;<0, 57.2, 0>;67;0;4294967295;255;-1;0;-1;;0;
m14_00_00_00;地図ポイント 140000 オープン湖 モンサン 発見領域上書き;SoulsFormats.MSB+Shape+Box;<-7.623, 49.015, -11.189>;<0, -55, 0>;352;0;4294967295;255;-1;0;-1;;0;
m15_00_00_00;地図ポイント 150000 オープン雪原 腐れ大樹（下層） 発見;SoulsFormats.MSB+Shape+Box;<-1.352, 625.646, 22.058>;<0, 0, 0>;9276;0;4294967295;255;-1;0;-1;;0;
m15_00_00_00;地図ポイント 150001 オープン雪山 腐れ大樹（上層） 発見;SoulsFormats.MSB+Shape+Box;<147.894, 246.013, 381.7>;<0, 176, 0>;117;0;4294967295;255;-1;0;-1;;0;
m16_00_00_00;地図ポイント_発見領域上書き 火山牢;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;452;0;4294967295;255;-1;0;-1;;0;
m31_05_00_00;地図ポイント_発見領域上書き オープン湖 洞窟２－２;SoulsFormats.MSB+Shape+Cylinder;<-91.979, 234.849, 30.543>;<0, 0, 0>;11;0;4294967295;255;-1;0;-1;;0;
m31_07_00_00;地図ポイント_発見領域上書き 310700 オープン高山 洞窟3-1;SoulsFormats.MSB+Shape+Cylinder;<-9.361, 799.119, 144.706>;<0, 0, 0>;2;0;4294967295;255;-1;0;-1;;0;
m31_12_00_00;地図ポイント_発見領域上書き 311200 オープン雪山 洞窟5-1;SoulsFormats.MSB+Shape+Cylinder;<-54.873, 1253.206, 44.14>;<0, 26.219, 0>;5;0;4294967295;255;-1;0;-1;;0;
m31_15_00_00;地図ポイント 311500 オープン緑前半 洞窟１－５　発見領域 05;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;43;0;4294967295;255;-1;0;-1;;0;
m31_19_00_00;地図ポイント_発見領域上書き 311900 オープン高山 洞窟3-4;SoulsFormats.MSB+Shape+Cylinder;<101.618, 653.372, -55.842>;<0, 0, 0>;2;0;4294967295;255;-1;0;-1;;0;
m31_20_00_00;地図ポイント_発見領域上書き 312000 オープン平原 洞窟4-3;SoulsFormats.MSB+Shape+Box;<127.349, 122.585, 40.053>;<0, 75.198, 0>;2;0;4294967295;255;-1;0;-1;;0;
m31_22_00_00;領域　地図ポイント発見領域上書き　洞窟5-2;SoulsFormats.MSB+Shape+Box;<-39.274, 1625.413, 121.889>;<0, 3.384, 0>;3;0;4294967295;255;-1;0;-1;;5;
m32_04_00_00;地図ポイント_発見領域上書き 320400 オープン高山 坑道3-1;SoulsFormats.MSB+Shape+Cylinder;<-171.983, 730.376, -103.233>;<0, 0, 0>;30;0;4294967295;255;-1;0;-1;;0;
m32_05_00_00;地図ポイント_発見領域上書き 320500 オープン高山 坑道3-3;SoulsFormats.MSB+Shape+Cylinder;<-52.182, 808.969, 50.574>;<0, 0, 0>;2;0;4294967295;255;-1;0;-1;;0;
m32_07_00_00;地図ポイント_発見領域上書き 320700 オープン平原 坑道4-1;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;31;0;4294967295;255;-1;0;-1;;0;
m32_08_00_00;地図ポイント_発見領域上書き 320800 オープン湖 坑道4-2;SoulsFormats.MSB+Shape+Cylinder;<18.553, 83.414, 114.824>;<0, 0, 0>;14;0;4294967295;255;-1;0;-1;;0;
m32_11_00_00;地図ポイント_発見領域上書き 321100 オープン雪山 坑道5-1;SoulsFormats.MSB+Shape+Cylinder;<44.942, 1255.766, -58.367>;<0, 0, 0>;21;0;4294967295;255;-1;0;-1;;0;
m35_00_00_00;地図ポイント 350000 王都地下下水 発見領域上書き;SoulsFormats.MSB+Shape+Box;<-163.596, -89.032, -189.38>;<0, -45, 0>;192;0;4294967295;255;-1;0;-1;;0;
m39_20_00_00;地図ポイント_発見上書き領域 392000 オープン高山　断崖坑道;SoulsFormats.MSB+Shape+Box;<88.421, 235.661, -1314.692>;<1.201, 32.574, -5.552>;214;0;4294967295;255;-1;0;-1;;0;
