MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;
m11_00_00_00;【GD_風_2-6m】_808001_1000;SoulsFormats.MSB+Shape+Box;<-339.477, 2.726, -376.301>;<-0, -171, 0>;9444;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1001;SoulsFormats.MSB+Shape+Box;<-399.543, 2.726, -397.505>;<-0, 154, 0>;9445;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1002;SoulsFormats.MSB+Shape+Box;<-298.084, 2.726, -396.158>;<-0, -141, 0>;9446;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1003;SoulsFormats.MSB+Shape+Box;<-260.595, 2.726, -447.637>;<0, -111, 0>;9447;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1004;SoulsFormats.MSB+Shape+Box;<-253.895, 2.726, -511.571>;<0, -81, 0>;9448;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1005;SoulsFormats.MSB+Shape+Box;<-267.606, -21.401, -386.334>;<-0, -141, 0>;9449;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1006;SoulsFormats.MSB+Shape+Box;<-242.001, -21.401, -432.415>;<0, -91, 0>;9450;0;4294967295;255;-1;0;-1;;0;
m11_00_00_00;【GD_風_2-6m】_808001_1007;SoulsFormats.MSB+Shape+Box;<-12.93, 39.841, -350.579>;<-0, 52.5, 0>;9454;0;4294967295;255;-1;0;-1;h020000;0;
m11_00_00_00;【GD_風_2-6m】_808001_1008;SoulsFormats.MSB+Shape+Box;<32.634, 61.648, -409.959>;<-0, 52.5, 0>;9455;0;4294967295;255;-1;0;-1;h020100;0;
m11_05_00_00;【GD_環境風_突風12-5m】_808003_1000;SoulsFormats.MSB+Shape+Box;<-151.049, -25.5, -250.664>;<-0, 47.467, 0>;9020;0;4294967295;255;-1;0;-1;h024300;0;
