MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;UnkT00;
m10_00_00_00;マップ名ID上書き オープン緑 エジンバラ -10000;SoulsFormats.MSB+Shape+Box;<-69.158, -0.909, -8.018>;<0, 10, 0>;492;0;4294967295;255;-1;0;-1;;0;-10000;
m11_00_00_00;領域 マップ名ID上書き;SoulsFormats.MSB+Shape+Box;<-53.535, -3.119, -93.416>;<0, -50.332, 0>;404;0;4294967295;255;-1;0;-1;;0;-11000;
m11_05_00_00;地名表示 +11050;SoulsFormats.MSB+Shape+Cylinder;<-128.017, -33.668, -109.917>;<0, -0.9, 0>;98;0;4294967295;255;-1;0;-1;;0;11050;
m12_01_00_00;マップ名ID 12010;SoulsFormats.MSB+Shape+Box;<1.255, -166.706, -40.022>;<0, 40.2, 0>;134;0;4294967295;255;-1;0;-1;;14;12010;
m12_01_00_00;マップ名ID 12010 {2};SoulsFormats.MSB+Shape+Box;<62.43, -163.642, -33.064>;<0, 8.5, 0>;105;0;4294967295;255;-1;0;-1;;13;12010;
m12_01_00_00;マップ名ID上書き 12010;SoulsFormats.MSB+Shape+Box;<-292.756, -281.165, 3.656>;<0, -24.7, 0>;279;0;4294967295;255;-1;0;-1;;15;-12010;
m12_01_00_00;マップ名ID上書き 12010 {2};SoulsFormats.MSB+Shape+Box;<-172.581, -174.607, 173.347>;<0, 0, 0>;403;0;4294967295;255;-1;0;-1;;16;-12010;
m12_01_00_00;マップ名ID上書き領域 -12012;SoulsFormats.MSB+Shape+Box;<-195.803, -225.228, 106.539>;<0, 40, 0>;282;0;4294967295;255;-1;0;-1;;0;-12012;
m12_01_00_00;マップ名ID上書き領域 12010;SoulsFormats.MSB+Shape+Box;<-323.081, -309.194, -40.061>;<0, -25.3, 0>;8;0;4294967295;255;-1;0;-1;;11;12010;
m12_01_00_00;マップ名　ID12012;SoulsFormats.MSB+Shape+Cylinder;<400.904, -143.304, -122.703>;<0, 0, 0>;290;0;4294967295;255;-1;0;-1;;0;12012;
m12_01_00_00;マップ名上書き ボス部屋落下死;SoulsFormats.MSB+Shape+Box;<-191.626, -258.482, 135.526>;<0, 20, 0>;418;0;4294967295;255;-1;0;-1;;17;12012;
m12_02_00_00;マップ名ID上書き 12020;SoulsFormats.MSB+Shape+Box;<1594.313, -776.038, 1122.832>;<0, 30, 0>;135;0;4294967295;255;-1;0;-1;;20;12020;
m12_02_00_00;マップ名ID上書き 12020 {2};SoulsFormats.MSB+Shape+Box;<947.236, -845.311, 1338.232>;<0, 21, 0>;110;0;4294967295;255;-1;0;-1;;14;12020;
m12_02_00_00;マップ名上書き 荒廃させるもの comp;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;543;0;4294967295;255;-1;0;-1;;0;12070;
m12_02_00_00;領域 マップ名ID上書き 12070;SoulsFormats.MSB+Shape+Box;<1408.797, -823.008, 1235.214>;<0, 30, 0>;513;0;4294967295;255;-1;0;-1;;21;12070;
m12_03_00_00;マップ名ID上書き 12030;SoulsFormats.MSB+Shape+Box;<-202.409, 253.129, -542.07>;<0, -20, 0>;333;0;4294967295;255;-1;0;-1;;7;12030;
m12_03_00_00;マップ名ID上書き 12030 {2};SoulsFormats.MSB+Shape+Box;<-189.07, 256.803, -520.01>;<0, -29.2, 0>;335;0;4294967295;255;-1;0;-1;;8;12030;
m12_03_00_00;マップ名ID上書き 12030 {3};SoulsFormats.MSB+Shape+Box;<-197.894, 232.261, -531.29>;<0, -5, 0>;342;0;4294967295;255;-1;0;-1;;9;12030;
m12_04_00_00;マップ名ID上書き 0;SoulsFormats.MSB+Shape+Cylinder;<-21.176, -96.387, 26.943>;<0, 0, 0>;20;0;4294967295;255;-1;0;-1;;0;12011;
m12_07_00_00;マップ名ID上書き 12020;SoulsFormats.MSB+Shape+Box;<604.174, -535.596, 1010.31>;<0, 16.3, 0>;39;0;4294967295;255;-1;0;-1;;18;12020;
m12_07_00_00;マップ名ID上書き 12020 {2};SoulsFormats.MSB+Shape+Box;<693.94, -588.781, 1162.471>;<0, 27.1, 0>;51;0;4294967295;255;-1;0;-1;;0;12020;
m12_07_00_00;マップ名ID上書き 12020 {3};SoulsFormats.MSB+Shape+Box;<761.91, -601.372, 1223.37>;<0, -50, 0>;47;0;4294967295;255;-1;0;-1;;0;12020;
m13_00_00_00;地名ID 13000 城壁内部侵入地点;SoulsFormats.MSB+Shape+Box;<209.73, 66.996, 196.16>;<0, 139.067, 0>;533;0;4294967295;255;-1;0;-1;;0;13000;
m16_00_00_00;マップ名ID上書き 火山牢;SoulsFormats.MSB+Shape+Box;<18.64, 4.899, -27.782>;<0, 56, 0>;453;0;4294967295;255;-1;0;-1;;0;-16000;
m30_20_00_00;マップ名ID上書き 調整用領域　聖別雪原;SoulsFormats.MSB+Shape+Box;<-105.103, 1336.619, -124.277>;<0, -179.5, 0>;71;0;4294967295;255;-1;0;-1;;6;65002;
m30_20_00_00;領域 マップ名ID上書き 禁域;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;53;0;4294967295;255;-1;0;-1;;30202500;63003;
m34_10_00_00;領域 マップ名ID上書き エジンバラ接続部;SoulsFormats.MSB+Shape+Box;<-12.958, 45.854, 153.478>;<0, 65, 0>;42;0;4294967295;255;-1;0;-1;;0;61001;
m34_14_00_00;マップ名ID上書き領域 -63002;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;87;0;4294967295;255;-1;0;-1;;34142530;-63002;
m34_14_00_00;マップ名ID上書き領域 63002;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;90;0;4294967295;255;-1;0;-1;;34142540;63002;
m34_14_00_00;マップ名ID上書き領域 63003;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;97;0;4294967295;255;-1;0;-1;;34142550;63003;
m35_00_00_00;マップ名ID上書き 350000 オープン高山 王都地下下水;SoulsFormats.MSB+Shape+Box;<-162.746, -88.76, -187.693>;<0, -134.549, 0>;457;0;4294967295;255;-1;0;-1;;1;35000;
m39_20_00_00;マップ名ID上書き　断崖坑道;SoulsFormats.MSB+Shape+Box;<88.421, 235.661, -1314.692>;<1.201, 32.574, -5.552>;215;0;4294967295;255;-1;0;-1;;0;-39200;
