MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;
m10_00_00_00;ワープ先;SoulsFormats.MSB+Shape+Point;<-314.18, 89.66, 279.16>;<0, 99.85, 0>;126;0;4294967295;255;-1;0;-1;;10003900;
m10_01_00_00;領域 プレイヤー初期位置;SoulsFormats.MSB+Shape+Sphere;<-33.549, 39.083, -179.277>;<0, -119, 0>;5;0;4294967295;255;-1;0;-1;;10012020;
m10_01_00_00;領域 ワープ位置 エジンバラから;SoulsFormats.MSB+Shape+Sphere;<22.807, 13.161, 2.29>;<0, 34.49, 0>;2;0;4294967295;255;-1;0;-1;;10012690;
m11_00_00_00;領域 NPC 火山館最強の騎士_NPC世界侵入_PCワープ領域（NPC）_リアル円卓1F;SoulsFormats.MSB+Shape+Sphere;<-272.39, -32.609, -278.85>;<0, 57.02, 0>;450;0;4294967295;255;-1;0;-1;;11002730;
m11_00_00_00;領域 NPC 火山館最強の騎士_NPC世界侵入_PC帰還領域（NPC）_リアル円卓1F;SoulsFormats.MSB+Shape+Sphere;<-272.39, -32.609, -278.85>;<0, 57.02, 0>;451;0;4294967295;255;-1;0;-1;;11002731;
m11_00_00_00;領域 NPC 疑似マルチ 火山館最強の騎士 侵入地点;SoulsFormats.MSB+Shape+Sphere;<-272.39, -32.609, -278.85>;<0, 57.02, 0>;454;0;4294967295;255;-1;0;-1;;11002141;
m11_00_00_00;領域 世界樹の我儘 復帰ポイント;SoulsFormats.MSB+Shape+Sphere;<34.563, 64.978, -412.614>;<0, -37.59, 0>;435;0;4294967295;255;-1;0;-1;;11002020;
m11_00_00_00;領域 復帰ポイント 王都神の塔 見張り塔1-1からワープ;SoulsFormats.MSB+Shape+Sphere;<-377.222, 21.336, -266.308>;<0, 60.03, 0>;455;0;4294967295;255;-1;0;-1;;11002697;
m11_00_00_00;領域 復帰ポイント 地下迷宮（王都）からのワープ地点;SoulsFormats.MSB+Shape+Sphere;<0.03, 1.02, 2.185>;<0, 0.65, 0>;84;0;4294967295;255;-1;0;-1;;11002500;
m11_05_00_00;領域 転送罠の開始地点 ;SoulsFormats.MSB+Shape+Sphere;<-377.082, 21.336, -266.231>;<0, 60.45, 0>;99;0;4294967295;255;-1;0;-1;;11052680;
m11_10_00_00;領域 拠点1F脱出スペル 復帰ポイント;SoulsFormats.MSB+Shape+Sphere;<-305.236, -19.889, -297.818>;<0, 59.499, 0>;9;0;4294967295;255;-1;0;-1;;11102620;
m11_10_00_00;領域 周回保留時復帰ポイント;SoulsFormats.MSB+Shape+Sphere;<-330.936, -21.985, -305.686>;<0, -73.356, 0>;1;0;4294967295;255;-1;0;-1;;11102020;
m11_71_00_00;領域 復帰ポイント エンディングA カットシーンワープ先;SoulsFormats.MSB+Shape+Sphere;<17.4, 60, -390.39>;<0, -38.27, 0>;1;0;4294967295;255;-1;0;-1;;11712500;
m12_01_00_00;復帰ポイント 湖からのワープ;SoulsFormats.MSB+Shape+Sphere;<317.42, -78.26, 316.61>;<0, -45, 0>;231;0;4294967295;255;-1;0;-1;;12012480;
