MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;EffectID;UnkT04;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1000;SoulsFormats.MSB+Shape+Point;<-140.666, 34.961, 29.34>;<-0, 14.612, 0>;9274;0;4294967295;255;-1;0;-1;m000005_1000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1001;SoulsFormats.MSB+Shape+Point;<-166.223, 34.961, 63.525>;<-0, 102.085, 0>;9275;0;4294967295;255;-1;0;-1;m000005_1000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1002;SoulsFormats.MSB+Shape+Point;<-168.042, 44.959, 81.565>;<-0, 97.755, 0>;9276;0;4294967295;255;-1;0;-1;m000005_1000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1003;SoulsFormats.MSB+Shape+Point;<-149.428, 43.023, 111.511>;<-0, 128.494, 0>;9277;0;4294967295;255;-1;0;-1;m000005_1000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1004;SoulsFormats.MSB+Shape+Point;<-135.243, 43.023, 80.309>;<-0, 21.297, 0>;9278;0;4294967295;255;-1;0;-1;m000005_1000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1005;SoulsFormats.MSB+Shape+Point;<-243.619, 76.805, 155.656>;<-0, 63.296, 0>;9279;0;4294967295;255;-1;0;-1;m000008_5000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1006;SoulsFormats.MSB+Shape+Point;<-225.183, 83.106, 223.157>;<0, 163.059, 0>;9280;0;4294967295;255;-1;0;-1;m000008_5000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1007;SoulsFormats.MSB+Shape+Point;<-197.596, 81.144, 244.518>;<0, 163.059, 0>;9283;0;4294967295;255;-1;0;-1;m004000_7000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1008;SoulsFormats.MSB+Shape+Point;<-171.833, 81.843, 248.479>;<0, 133.075, 0>;9284;0;4294967295;255;-1;0;-1;m004000_7000;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1009;SoulsFormats.MSB+Shape+Point;<-271.244, 97.106, 370.576>;<0, 90.027, 0>;9285;0;4294967295;255;-1;0;-1;m000029_8500;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810210_1010;SoulsFormats.MSB+Shape+Point;<-247.882, 97.106, 384.853>;<0, 90.027, 0>;9286;0;4294967295;255;-1;0;-1;m000029_8500;0;810210;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810211_1001;SoulsFormats.MSB+Shape+Point;<-250.241, 77.94, 187.993>;<0, 98.502, 0>;9281;0;4294967295;255;-1;0;-1;m000008_5000;10003830;810211;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810211_1002;SoulsFormats.MSB+Shape+Point;<-251.344, 77.94, 210.544>;<-0, 96.82, 0>;9282;0;4294967295;255;-1;0;-1;m000008_5000;10003831;810211;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810211_1003;SoulsFormats.MSB+Shape+Point;<-234.821, 81.119, 335.814>;<0, 68.482, 0>;9287;0;4294967295;255;-1;0;-1;m000029_8500;10003832;810211;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810211_1004;SoulsFormats.MSB+Shape+Point;<-239.98, 80.989, 364.35>;<0, 68.482, 0>;9288;0;4294967295;255;-1;0;-1;m000029_8500;10003833;810211;0;
m10_00_00_00;【GD_エジンバラ城落葉 】_810211_1005;SoulsFormats.MSB+Shape+Point;<-192.66, 56.076, 57.561>;<0, 68.482, 0>;9289;0;4294967295;255;-1;0;-1;m001560_1000;10003834;810211;0;
m10_00_00_00;【GD_スタート石畳_砂埃】_810341_1001;SoulsFormats.MSB+Shape+Point;<-102.338, 21.87, 5.153>;<-0, 35.308, 0>;9243;0;4294967295;255;-1;0;-1;m002002_2000;0;810341;0;
m10_00_00_00;【GD_スタート石畳_砂埃】_810341_1002;SoulsFormats.MSB+Shape+Point;<-94.854, 21.924, 0.801>;<-0, 33.222, 0>;9242;0;4294967295;255;-1;0;-1;m002002_2000;0;810341;0;
m10_00_00_00;【GD_スタート石畳_砂埃】_810341_1003;SoulsFormats.MSB+Shape+Point;<-87.441, 18.059, -5.241>;<-0, 34.061, -25.234>;9244;0;4294967295;255;-1;0;-1;m002002_2000;0;810341;0;
m10_00_00_00;【GD_スタート石畳_砂埃】_810341_1004;SoulsFormats.MSB+Shape+Point;<-77.33, 13.687, -12.256>;<-0.314, 34.061, -25.863>;9245;0;4294967295;255;-1;0;-1;m002002_2000;0;810341;0;
m10_00_00_00;【GD_フォグ】_800221_0000;SoulsFormats.MSB+Shape+Point;<-243.33, 66.8, 177.972>;<-0, 87.522, 0>;9250;0;4294967295;255;-1;0;-1;m000008_5000;0;800221;0;
m10_00_00_00;【GD_フォグ】_800221_0001;SoulsFormats.MSB+Shape+Point;<-239.601, 66.8, 205.422>;<-0, 87.522, 0>;9251;0;4294967295;255;-1;0;-1;m000008_5000;0;800221;0;
m10_00_00_00;【GD_フォグ】_800221_0002;SoulsFormats.MSB+Shape+Point;<-188.319, 68.437, 98.561>;<-0, 152.522, -0>;9270;0;4294967295;255;-1;0;-1;AEG217_053_6000;0;800221;0;
m10_00_00_00;【GD_ボス死亡後の突風】_810610_0000;SoulsFormats.MSB+Shape+Point;<-259.116, 75.57, 355.22>;<-0, 50.447, 0.738>;9252;0;4294967295;255;-1;0;-1;m000029_8500;1003820;810610;1;
m10_00_00_00;【GD_ボス死亡後の突風】_810610_0001;SoulsFormats.MSB+Shape+Point;<-245.843, 73.396, 341.938>;<-0, 50.447, 0.738>;9253;0;4294967295;255;-1;0;-1;m000029_8500;1003821;810610;1;
m10_00_00_00;【GD_ボス死亡後の突風】_810610_0002;SoulsFormats.MSB+Shape+Point;<-232.333, 74.351, 325.581>;<-0, 50.447, 0.738>;9254;0;4294967295;255;-1;0;-1;m000029_8500;1003822;810610;1;
m10_00_00_00;【GD_煙突煙 】_810220_1000;SoulsFormats.MSB+Shape+Point;<-177.589, 96.804, 80.372>;<-0, 63.245, 0>;9026;0;4294967295;255;-1;0;-1;m001520_6000;0;810220;0;
m10_00_00_00;【GD_煙突煙 】_810220_1001;SoulsFormats.MSB+Shape+Point;<-179.138, 96.804, 79.662>;<-0, 63.245, 0>;9027;0;4294967295;255;-1;0;-1;m001520_6000;0;810220;0;
m10_00_00_00;【GD_煙突煙 】_810220_1002;SoulsFormats.MSB+Shape+Point;<-181.199, 93.359, 85.679>;<-0, 63.245, 0>;9028;0;4294967295;255;-1;0;-1;m001520_6000;0;810220;0;
m10_00_00_00;【GD_煙突煙 】_810220_1003;SoulsFormats.MSB+Shape+Point;<-187.372, 93.87, 98.993>;<-0, 63.245, 0>;9029;0;4294967295;255;-1;0;-1;m001520_6000;0;810220;0;
m10_00_00_00;【GD_煙突煙 】_810220_1004;SoulsFormats.MSB+Shape+Point;<-188.78, 93.87, 98.304>;<-0, 63.245, 0>;9030;0;4294967295;255;-1;0;-1;m001520_6000;0;810220;0;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810300_1004;SoulsFormats.MSB+Shape+Point;<-240.852, 73.743, 334.025>;<-0, 30.204, 0.738>;9215;0;4294967295;255;-1;0;-1;m000029_8500;1003810;810300;1;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810300_1005;SoulsFormats.MSB+Shape+Point;<-259.179, 73.418, 355.297>;<-0, 50.447, 0.738>;9234;0;4294967295;255;-1;0;-1;m000029_8500;1003811;810300;1;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810301_1001;SoulsFormats.MSB+Shape+Point;<-59.912, 8.298, -17.53>;<-0, 27.035, -8.615>;9164;0;4294967295;255;-1;0;-1;m002002_2000;0;810301;0;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810301_1002;SoulsFormats.MSB+Shape+Point;<3.474, -4.492, -21.47>;<2.905, 0.211, -5.297>;9024;0;4294967295;255;-1;0;-1;m002002_2000;0;810301;0;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810301_1003;SoulsFormats.MSB+Shape+Point;<-36.572, 2.2, -35.645>;<-0, 11.762, -9.501>;9010;0;4294967295;255;-1;0;-1;m002002_2000;0;810301;0;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810301_1006;SoulsFormats.MSB+Shape+Point;<-8.102, -3.189, -32.084>;<2.905, 0.211, -5.297>;9205;0;4294967295;255;-1;0;-1;m002002_2000;0;810301;0;
m10_00_00_00;【GD_屋外フォグ・草・灰】_810301_1007;SoulsFormats.MSB+Shape+Point;<-299.224, 78.75, 95.902>;<-0, 63.411, -0>;9374;0;4294967295;255;-1;0;-1;m003001_2000;0;810301;0;
m10_00_00_00;【GD_城壁フォグ・灰】_810310_1001;SoulsFormats.MSB+Shape+Point;<-317.628, 95.949, 122.016>;<-0, 44.664, 0>;9025;0;4294967295;255;-1;0;-1;m010070_4500;0;810310;0;
m10_00_00_00;【GD_城壁フォグ・灰】_810310_1002;SoulsFormats.MSB+Shape+Point;<-341.525, 96.734, 147.855>;<-0, 63.251, -0>;9232;0;4294967295;255;-1;0;-1;m010070_4500;0;810310;0;
m10_00_00_00;【GD_城壁フォグ・灰】_810310_1003;SoulsFormats.MSB+Shape+Point;<-336.231, 94.675, 189.101>;<-0, 83.464, -0>;9233;0;4294967295;255;-1;0;-1;m010070_4500;0;810310;0;
m10_00_00_00;【GD_城壁上_砂埃】_810340_1001;SoulsFormats.MSB+Shape+Point;<-275.525, 97.123, 135.72>;<-0, 63.251, 0>;9235;0;4294967295;255;-1;0;-1;m010070_4500;0;810340;0;
m10_00_00_00;【GD_城壁上_砂埃】_810340_1003;SoulsFormats.MSB+Shape+Point;<-282.971, 94.71, 152.063>;<-0, 82.044, 0>;9237;0;4294967295;255;-1;0;-1;m010070_4500;0;810340;0;
m10_00_00_00;【GD_城壁上_砂埃】_810340_1004;SoulsFormats.MSB+Shape+Point;<-294.856, 96.634, 161.858>;<-0, 63.251, 0>;9238;0;4294967295;255;-1;0;-1;m010070_4500;0;810340;0;
m10_00_00_00;【GD_城壁上_砂埃】_810340_1005;SoulsFormats.MSB+Shape+Point;<-295.621, 94.602, 176.86>;<-0, 49.584, 0>;9239;0;4294967295;255;-1;0;-1;m010070_4500;0;810340;0;
m10_00_00_00;【GD_城壁上_砂埃】_810340_1006;SoulsFormats.MSB+Shape+Point;<-300.449, 94.602, 185.954>;<-0, 63.251, 0>;9240;0;4294967295;255;-1;0;-1;m010070_4500;0;810340;0;
m10_00_00_00;【GD_城壁上_砂埃】_810340_1007;SoulsFormats.MSB+Shape+Point;<-301.084, 94.602, 195.711>;<-0, 89.383, 0>;9241;0;4294967295;255;-1;0;-1;m010070_4500;0;810340;0;
m10_00_00_00;【GD_嵐雲近景】_810331_1001;SoulsFormats.MSB+Shape+Point;<-125.185, 24.875, -54.932>;<-0, 34.081, 0>;9216;0;4294967295;255;-1;0;-1;m002002_2000;0;810331;0;
m10_00_00_00;【GD_嵐雲近景】_810331_1002;SoulsFormats.MSB+Shape+Point;<-60.422, 13.355, -70.837>;<-0, 12.148, 0>;9217;0;4294967295;255;-1;0;-1;m002002_2000;0;810331;0;
m10_00_00_00;【GD_嵐雲近景】_810331_1003;SoulsFormats.MSB+Shape+Point;<-64.28, 21.538, -38.19>;<-0, 18.818, 0>;9229;0;4294967295;255;-1;0;-1;m002002_2000;0;810331;0;
m10_00_00_00;【GD_嵐雲近景】_810331_1004;SoulsFormats.MSB+Shape+Point;<-131.296, 61.577, -34.877>;<-0, 60.634, 0>;9231;0;4294967295;255;-1;0;-1;m002002_2000;0;810331;0;
m10_00_00_00;【GD虫_】_800240_1000;SoulsFormats.MSB+Shape+Point;<-215.213, 57.987, 97.583>;<0, -117, 0>;9213;0;4294967295;255;-1;0;-1;m010190_6000;0;800240;0;
m10_00_00_00;【GD虫_】_800240_1001;SoulsFormats.MSB+Shape+Point;<-219.772, 57.987, 106.705>;<0, -117, 0>;9214;0;4294967295;255;-1;0;-1;m010190_6000;0;800240;0;
m10_00_00_00;【GD虫_】_800240_1002;SoulsFormats.MSB+Shape+Point;<-224.933, 57.987, 116.777>;<0, -117, 0>;9230;0;4294967295;255;-1;0;-1;m010190_6000;0;800240;0;
