MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;
m10_00_00_00;BGM切り替え領域;SoulsFormats.MSB+Shape+Box;<4.997, -18.209, 2.656>;<0, -57.3, 0>;131;0;4294967295;255;-1;0;-1;;10002680;
m10_00_00_00;BGM即時切替防止領域;SoulsFormats.MSB+Shape+Box;<4.997, -18.209, 2.656>;<0, -57.3, 0>;132;0;4294967295;255;-1;0;-1;;10002681;
m10_00_00_00;Runtime_Event_Region_170603_141537;SoulsFormats.MSB+Shape+Box;<-109.991, 37.117, 104.745>;<0, 64, 0>;28;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;Runtime_Event_Region_170623_221200;SoulsFormats.MSB+Shape+Box;<-232.687, 66.774, 68.914>;<0, -29, 0>;78;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;Runtime_Event_Region_181216_124109;SoulsFormats.MSB+Shape+Box;<-173.402, 69.954, 277.659>;<0, -40, 0>;151;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;Runtime_Event_Region_190816_153356;SoulsFormats.MSB+Shape+Box;<-183.762, 63.16, 141.406>;<0, 20.1, 0>;287;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;Runtime_Point_200831_14484300;SoulsFormats.MSB+Shape+Box;<-199.048, 52.072, 56.955>;<0, 64.775, 0>;433;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;イベント＿エレベータ神の門下;SoulsFormats.MSB+Shape+Box;<-73.745, 40.568, 121.921>;<0, -25.8, 0>;14;0;4294967295;255;-1;0;-1;;10012215;
m10_00_00_00;イベント＿エレベータ神の門上;SoulsFormats.MSB+Shape+Box;<-73.745, 60, 121.921>;<0, -25.8, 0>;22;0;4294967295;255;-1;0;-1;;10012214;
m10_00_00_00;プレイ領域 Compositeパーツ 1000001 ①;SoulsFormats.MSB+Shape+Box;<-68.715, -47.685, -13.434>;<0, 6.3, 0>;17;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000001 ②;SoulsFormats.MSB+Shape+Box;<-60.3, -42.844, 1.688>;<0, 30, 0>;26;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000003 ①;SoulsFormats.MSB+Shape+Box;<-244.832, 69.039, 52.527>;<0, -25, 0>;122;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000003 ②（差）;SoulsFormats.MSB+Shape+Box;<-242.913, 65.129, 68.696>;<0, -30, 0>;123;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000003 ③;SoulsFormats.MSB+Shape+Box;<-252.435, 59.248, 91.829>;<0, -26.8, 0>;124;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000003 ④;SoulsFormats.MSB+Shape+Box;<-269.009, 76.96, 85.532>;<0, -30, 0>;128;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000003 ⑤;SoulsFormats.MSB+Shape+Box;<-236.699, 90.289, 92.293>;<0, -28, 0>;129;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000005 ①;SoulsFormats.MSB+Shape+Box;<-261.876, 64.291, 201.387>;<0, 0, 0>;130;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000005 ②;SoulsFormats.MSB+Shape+Box;<-179.557, 57.01, 171.296>;<0, 18, 0>;161;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000005 ③;SoulsFormats.MSB+Shape+Box;<-189.604, 50.476, 81.238>;<0, -26, 0>;160;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000005 ④;SoulsFormats.MSB+Shape+Box;<-169.313, 62.86, 163.471>;<0, 17, 0>;164;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000005 ⑤;SoulsFormats.MSB+Shape+Box;<-203.328, 80.012, 314.649>;<0, 50, 0>;176;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000005 ⑥;SoulsFormats.MSB+Shape+Box;<-178.112, 63.338, 126.454>;<0, -26.199, 0>;522;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000006 ①;SoulsFormats.MSB+Shape+Box;<-119.458, 15.221, 30.063>;<0, 35, 0>;102;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000006 ②;SoulsFormats.MSB+Shape+Box;<-118.685, 27.041, 16.566>;<0, 35, 0>;114;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000007 ②;SoulsFormats.MSB+Shape+Box;<-208.548, 81.633, 135.507>;<0, -27, 0>;174;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000011 ①;SoulsFormats.MSB+Shape+Box;<-207.545, 88.366, 284.671>;<0, 50, 0>;163;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000011 ②;SoulsFormats.MSB+Shape+Box;<-229.827, 93.022, 273.351>;<0, -40, 0>;165;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000011 ③;SoulsFormats.MSB+Shape+Box;<-253.946, 94.876, 267.582>;<0, -14, 0>;166;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000012 ①;SoulsFormats.MSB+Shape+Box;<-317.867, 68.444, 242.622>;<0, 20, 0>;168;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;プレイ領域 Compositeパーツ 1000012 ②;SoulsFormats.MSB+Shape+Box;<-270.43, 21.759, 168.827>;<0, -5, 0>;169;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;未使用　【領域】　敵_兵舎_ホール1F接ぎ木の蜘蛛;SoulsFormats.MSB+Shape+Box;<1, 1, 1>;<0, -26, 0>;92;0;4294967295;255;-1;0;-1;;10002650;
m10_00_00_00;門衛_罠部屋起動時_ワープ領域;SoulsFormats.MSB+Shape+Sphere;<-225.23, 67.121, 72.95>;<0, -120.47, 0>;514;0;4294967295;255;-1;0;-1;;10002712;
m10_00_00_00;門衛_罠部屋起動時_ワープ領域 ※ゲスト？;SoulsFormats.MSB+Shape+Sphere;<-227.55, 67.127, 70.87>;<0, -120.93, 0>;515;0;4294967295;255;-1;0;-1;;10002713;
m10_00_00_00;領域 NPC 戦場医師の会話判定用;SoulsFormats.MSB+Shape+Box;<31.333, -12.852, 43.106>;<0, 1.2, 0>;441;0;4294967295;255;-1;0;-1;;10002720;
m10_00_00_00;領域 NPC 白サイン 傭兵剣士;SoulsFormats.MSB+Shape+Sphere;<-200.41, 81.88, 308.23>;<0, 157.81, 0>;314;0;4294967295;255;-1;0;-1;;10002182;
m10_00_00_00;領域 NPC 百智卿の娘 会話再生範囲;SoulsFormats.MSB+Shape+Box;<-183.07, 73.18, 217.06>;<0, 11.3, 0>;36;0;4294967295;255;-1;0;-1;;10002735;
m10_00_00_00;領域 NPC 門衛 PC呼びかけ 出口;SoulsFormats.MSB+Shape+Box;<-125.961, 21.409, 3.913>;<0, -145, 0>;385;0;4294967295;255;-1;0;-1;;10002716;
m10_00_00_00;領域 NPC 門衛 PC呼びかけ 入口;SoulsFormats.MSB+Shape+Box;<-112.411, 21.031, 12.519>;<0, 125.951, 0>;271;0;4294967295;255;-1;0;-1;;10002715;
m10_00_00_00;領域 NPC 門衛 開門合図;SoulsFormats.MSB+Shape+Box;<-109.223694, 20.802204, 22.0861>;<0, 124, 0>;272;0;4294967295;255;-1;0;-1;;10000755;
m10_00_00_00;領域 NPC 門衛 門前移動;SoulsFormats.MSB+Shape+Box;<-119.89278, 20.802204, 8.715965>;<0, 124, 0>;354;0;4294967295;255;-1;0;-1;;10002709;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 1-1;SoulsFormats.MSB+Shape+Box;<-206.488, 38.118, 6.318>;<0, -44.178, 0>;345;0;4294967295;255;-1;0;-1;;10002700;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 1-2;SoulsFormats.MSB+Shape+Box;<-229.435, 51.225, 45.17>;<0, 18.655, 0>;346;0;4294967295;255;-1;0;-1;;10002701;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 2-1;SoulsFormats.MSB+Shape+Box;<-243.154, 56.923, 76.716>;<0, -26.522, 0>;347;0;4294967295;255;-1;0;-1;;10002702;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 2-2;SoulsFormats.MSB+Shape+Box;<-251.708, 68.589, 92.103>;<0, -27.108, 0>;348;0;4294967295;255;-1;0;-1;;10002703;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 3-1;SoulsFormats.MSB+Shape+Box;<-261.466, 97.988, 89.133>;<0, 63.031, 0>;349;0;4294967295;255;-1;0;-1;;10002704;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 3-2;SoulsFormats.MSB+Shape+Box;<-274.006, 96.509, 140.049>;<0.87, -26.642, 0.041>;350;0;4294967295;255;-1;0;-1;;10002705;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 4-1;SoulsFormats.MSB+Shape+Box;<-260.918, 77.409, 169.949>;<0, -180, 0>;351;0;4294967295;255;-1;0;-1;;10002706;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 4-2;SoulsFormats.MSB+Shape+Box;<-217.837, 76.512, 127.826>;<0, 153.181, 0>;352;0;4294967295;255;-1;0;-1;;10002707;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 罠部屋;SoulsFormats.MSB+Shape+Composite;<0, 0, 0>;<0, 0, 0>;369;0;4294967295;255;-1;0;-1;;10002710;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 罠部屋00;SoulsFormats.MSB+Shape+Box;<-226.053, 67.011, 80.226>;<0, 63.374, 0>;353;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 罠部屋01;SoulsFormats.MSB+Shape+Box;<-234.672, 66.897, 77.407>;<0, -26.465, 0>;367;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;領域 NPC 門衛ストーカーイベント 罠部屋02;SoulsFormats.MSB+Shape+Box;<-229.733, 66.846, 67.518>;<0, 154.341, 0>;368;0;4294967295;255;-1;0;-1;;0;
m10_00_00_00;領域 NPC 傭兵剣士 移動領域１;SoulsFormats.MSB+Shape+Sphere;<19.340553, -11.43, 12.634517>;<0, 0, 0>;308;0;4294967295;255;-1;0;-1;;10000760;
