MapID;Name;Shape;Position;Rotation;Unk2C;Unk40;MapStudioLayer;UnkE08;MapID;UnkS04;UnkS0C;ActivationPartName;EntityID;UnkT00;UnkT04;UnkT0D;UnkT0E;UnkT0F;UnkT10;UnkT14;MapID2;UnkT20;UnkT24;UnkT28;UnkT2C;UnkT2D;
m10_00_00_00;Env_Point000;SoulsFormats.MSB+Shape+Point;<-174.675, 151.583, 89.9>;<-0, -0, 0>;9204;0;4294967295;255;-1;0;-1;;0;150;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point001;SoulsFormats.MSB+Shape+Point;<-174.675, 151.583, 89.9>;<-0, -0, 0>;8526;0;4294967295;255;-1;0;-1;;0;8;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point002;SoulsFormats.MSB+Shape+Point;<-1677.747, 239.799, 3922.063>;<-0, -0, 0>;8596;0;4294967295;255;-1;0;-1;;0;150;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point003;SoulsFormats.MSB+Shape+Point;<-21.025, 22.749, -20.069>;<-0, -0, 0>;8534;0;4294967295;255;-1;0;-1;;0;8;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point004;SoulsFormats.MSB+Shape+Point;<1824.752, 1301.786, 5615.705>;<-0, -0, 0>;8597;0;4294967295;255;-1;0;-1;;0;150;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point005;SoulsFormats.MSB+Shape+Point;<2518.808, 328.134, 2277.273>;<-0, -0, 0>;8598;0;4294967295;255;-1;0;-1;;0;150;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point010;SoulsFormats.MSB+Shape+Point;<-21.025, 15.265, -25.782>;<-0, -0, 0>;9013;0;4294967295;255;-1;0;-1;;0;4;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point011;SoulsFormats.MSB+Shape+Point;<-66.459, 19.187, -7.189>;<-0, -0, 0>;9015;0;4294967295;255;-1;0;-1;;0;3.5;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point012;SoulsFormats.MSB+Shape+Point;<-140.675, 16.195, -17.867>;<-0, -0, 0>;9032;0;4294967295;255;-1;0;-1;;0;4;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point013;SoulsFormats.MSB+Shape+Point;<-170.226, 32.895, -32.824>;<0, 0, -0>;9034;0;4294967295;255;-1;0;-1;;0;2;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point014;SoulsFormats.MSB+Shape+Point;<-190.005, 40.914, -80.735>;<0, 0, -0>;9036;0;4294967295;255;-1;0;-1;;0;4;4;True;True;True;1;1;33554432;512;64;5;0;1;
m10_00_00_00;Env_Point015;SoulsFormats.MSB+Shape+Point;<-213.945, 48.177, 13.485>;<-0, -0, 0>;9049;0;4294967295;255;-1;0;-1;;0;3;4;True;True;True;1;1;33554432;512;64;5;0;1;
